------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR


  15058. C4H71-4 + UME10  => C4H8-1 + RUME10 
         k:       1.755000e+05	    2.00       6600.00


  15059. C4H71-3 + UME10  => C4H8-2 + RUME10 
         k:       4.420000e+05	    2.00      13700.00


  15060. IC4H7 + UME10  => IC4H8 + RUME10 
         k:       3.510000e+05	    2.00      13700.00


  15061. C4H3 + UME10  => C4H4 + RUME10 
         k:       5.317000e+05	    2.00       5200.00


  15062. C6H5 + UME10  => C6H6 + RUME10 
         k:       4.810000e+08	    1.00       2000.00


  15063. C5H5 + UME10  => C5H6 + RUME10 
         k:       4.420000e+05	    2.00      14000.00


  15064. O + UME10  => OH + RUME10 
         k:       3.055000e+07	    2.00       2500.00


  15065. O2 + UME10  => HO2 + RUME10 
         k:       2.210000e+07	    2.00      44000.00


  15066. OH + UME10  => H2O + RUME10 
         k:       1.950000e+10	    1.00         50.00


  15067. HO2 + UME10  => H2O2 + RUME10 
         k:       1.040000e+07	    2.00      16000.00


  15068. CH3O + UME10  => CH3OH + RUME10 
         k:       5.564000e+05	    2.00       1500.00


  15069. CH2OH + UME10  => CH3OH + RUME10 
         k:       3.679000e+05	    2.00      10200.00


  15070. HCO + UME10  => CH2O + RUME10 
         k:       1.638000e+06	    2.00      12300.00


  15071. CH3CO + UME10  => CH3CHO + RUME10 
         k:       1.755000e+06	    2.00      14000.00


  15072. CH2CHO + UME10  => CH3CHO + RUME10 
         k:       2.990000e+05	    2.00      11500.00


  15073. C3H3 + UME10  => C3H4-A + RUME10 
         k:       3.510000e+05	    2.00      14000.00


  15074. HCCO + UME10  => CH2CO + RUME10 
         k:       5.564000e+05	    2.00       5200.00


  15075. CH3O2 + UME10  => CH3O2H + RUME10 
         k:       9.880000e+05	    2.00      12600.00


  15076. C2H5O2 + UME10  => C2H5O2H + RUME10 
         k:       9.880000e+05	    2.00      12600.00


  15077. NC3H7O2 + UME10  => C3H7OOH + RUME10 
         k:       9.880000e+05	    2.00      12600.00


  15078. IC3H7O2 + UME10  => C3H7OOH + RUME10 
         k:       9.880000e+05	    2.00      12600.00


  15079. HCO3 + UME10  => HCO3H + RUME10 
         k:       4.420000e+05	    2.00       6500.00


  15080. CH3CO3 + UME10  => CH3CO3H + RUME10 
         k:       4.420000e+05	    2.00       6500.00


  15081. CH3COCH2 + UME10  => CH3COCH3 + RUME10 
         k:       2.990000e+05	    2.00       8000.00


  15082. C6H5O + UME10  => C6H5OH + RUME10 
         k:       7.020000e+05	    2.00      12500.00


  15083. C6H4OH + UME10  => C6H5OH + RUME10 
         k:       4.810000e+08	    1.00       2000.00


  15084. C5H7 + UME10  => LC5H8 + RUME10 
         k:       3.510000e+05	    2.00      15000.00


  15085. C7H7 + UME10  => C7H8 + RUME10 
         k:       1.755000e+05	    2.00      16000.00


  15086. CH3C6H4 + UME10  => C7H8 + RUME10 
         k:       4.810000e+08	    1.00       2000.00


  15087. RCRESOLO + UME10  => CRESOL + RUME10 
         k:       3.510000e+05	    2.00      12800.00


  15088. C10H7 + UME10  => C10H8 + RUME10 
         k:       4.810000e+08	    1.00       2000.00


  15089. C6H5C2H4 + UME10  => C6H5C2H5 + RUME10 
         k:       3.250000e+05	    2.00      12500.00


  15090. C6H5CHCH3 + UME10  => C6H5C2H5 + RUME10 
         k:       2.340000e+05	    2.00      16000.00


  15091. INDENYL + UME10  => INDENE + RUME10 
         k:       1.690000e+05	    2.00      16000.00


  15092. C10H6CH3 + UME10  => C10H7CH3 + RUME10 
         k:       4.810000e+08	    1.00       2000.00


  15093. C6H4O + UME10  => C6H5O + RUME10 
         k:       3.510000e+05	    2.00      12500.00


  15094. RCATEC + UME10  => CATECHOL + RUME10 
         k:       2.600000e+05	    2.00      11000.00


  15095. RC7H5O3 + UME10  => C7H6O3 + RUME10 
         k:       2.600000e+05	    2.00      12500.00


  15096. RSALICPH + UME10  => SALICALD + RUME10 
         k:       5.200000e+08	    1.00       2000.00


  15097. RGUAIPH + UME10  => GUAIACOL + RUME10 
         k:       5.200000e+08	    1.00       2000.00


  15098. RCATEPH + UME10  => CATECHOL + RUME10 
         k:       5.200000e+08	    1.00       2000.00


  15099. H + UME7  => H2 + RUME7 
         k:       3.600000e+07	    2.00       4000.00


  15100. CH3 + UME7  => CH4 + RUME7 
         k:       3.600000e+05	    2.00       5000.00


  15101. C2H3 + UME7  => C2H4 + RUME7 
         k:       8.136000e+05	    2.00       3900.00


  15102. C2H5 + UME7  => C2H6 + RUME7 
         k:       2.400000e+05	    2.00       6700.00


  15103. NC3H7 + UME7  => C3H8 + RUME7 
         k:       1.620000e+05	    2.00       6700.00


  15104. IC3H7 + UME7  => C3H8 + RUME7 
         k:       1.620000e+05	    2.00       9900.00


  15105. C3H5-S + UME7  => C3H6 + RUME7 
         k:       3.240000e+05	    2.00       4500.00


  15106. C3H5-T + UME7  => C3H6 + RUME7 
         k:       3.240000e+05	    2.00       4500.00


  15107. C3H5-A + UME7  => C3H6 + RUME7 
         k:       6.468000e+05	    2.00      12800.00


  15108. C4H5 + UME7  => C4H6 + RUME7 
         k:       3.240000e+05	    2.00       4500.00


  15109. C4H71-4 + UME7  => C4H8-1 + RUME7 
         k:       1.620000e+05	    2.00       6600.00


  15110. C4H71-3 + UME7  => C4H8-2 + RUME7 
         k:       4.080000e+05	    2.00      13700.00


  15111. IC4H7 + UME7  => IC4H8 + RUME7 
         k:       3.240000e+05	    2.00      13700.00


  15112. C4H3 + UME7  => C4H4 + RUME7 
         k:       4.908000e+05	    2.00       5200.00


  15113. C6H5 + UME7  => C6H6 + RUME7 
         k:       4.440000e+08	    1.00       2000.00


  15114. C5H5 + UME7  => C5H6 + RUME7 
         k:       4.080000e+05	    2.00      14000.00


  15115. O + UME7  => OH + RUME7 
         k:       2.820000e+07	    2.00       2500.00


  15116. O2 + UME7  => HO2 + RUME7 
         k:       2.040000e+07	    2.00      44000.00


  15117. OH + UME7  => H2O + RUME7 
         k:       1.800000e+10	    1.00         50.00


  15118. HO2 + UME7  => H2O2 + RUME7 
         k:       9.600000e+06	    2.00      16000.00


  15119. CH3O + UME7  => CH3OH + RUME7 
         k:       5.136000e+05	    2.00       1500.00


  15120. CH2OH + UME7  => CH3OH + RUME7 
         k:       3.396000e+05	    2.00      10200.00


  15121. HCO + UME7  => CH2O + RUME7 
         k:       1.512000e+06	    2.00      12300.00


  15122. CH3CO + UME7  => CH3CHO + RUME7 
         k:       1.620000e+06	    2.00      14000.00


  15123. CH2CHO + UME7  => CH3CHO + RUME7 
         k:       2.760000e+05	    2.00      11500.00


  15124. C3H3 + UME7  => C3H4-A + RUME7 
         k:       3.240000e+05	    2.00      14000.00


  15125. HCCO + UME7  => CH2CO + RUME7 
         k:       5.136000e+05	    2.00       5200.00


  15126. CH3O2 + UME7  => CH3O2H + RUME7 
         k:       9.120000e+05	    2.00      12600.00


  15127. C2H5O2 + UME7  => C2H5O2H + RUME7 
         k:       9.120000e+05	    2.00      12600.00


  15128. NC3H7O2 + UME7  => C3H7OOH + RUME7 
         k:       9.120000e+05	    2.00      12600.00


  15129. IC3H7O2 + UME7  => C3H7OOH + RUME7 
         k:       9.120000e+05	    2.00      12600.00


  15130. HCO3 + UME7  => HCO3H + RUME7 
         k:       4.080000e+05	    2.00       6500.00


  15131. CH3CO3 + UME7  => CH3CO3H + RUME7 
         k:       4.080000e+05	    2.00       6500.00


  15132. CH3COCH2 + UME7  => CH3COCH3 + RUME7 
         k:       2.760000e+05	    2.00       8000.00


  15133. C6H5O + UME7  => C6H5OH + RUME7 
         k:       6.480000e+05	    2.00      12500.00


  15134. C6H4OH + UME7  => C6H5OH + RUME7 
         k:       4.440000e+08	    1.00       2000.00


  15135. C5H7 + UME7  => LC5H8 + RUME7 
         k:       3.240000e+05	    2.00      15000.00


  15136. C7H7 + UME7  => C7H8 + RUME7 
         k:       1.620000e+05	    2.00      16000.00


  15137. CH3C6H4 + UME7  => C7H8 + RUME7 
         k:       4.440000e+08	    1.00       2000.00


  15138. RCRESOLO + UME7  => CRESOL + RUME7 
         k:       3.240000e+05	    2.00      12800.00


  15139. C10H7 + UME7  => C10H8 + RUME7 
         k:       4.440000e+08	    1.00       2000.00


  15140. C6H5C2H4 + UME7  => C6H5C2H5 + RUME7 
         k:       3.000000e+05	    2.00      12500.00


  15141. C6H5CHCH3 + UME7  => C6H5C2H5 + RUME7 
         k:       2.160000e+05	    2.00      16000.00


  15142. INDENYL + UME7  => INDENE + RUME7 
         k:       1.560000e+05	    2.00      16000.00


  15143. C10H6CH3 + UME7  => C10H7CH3 + RUME7 
         k:       4.440000e+08	    1.00       2000.00


  15144. C6H4O + UME7  => C6H5O + RUME7 
         k:       3.240000e+05	    2.00      12500.00


  15145. RCATEC + UME7  => CATECHOL + RUME7 
         k:       2.400000e+05	    2.00      11000.00


  15146. RC7H5O3 + UME7  => C7H6O3 + RUME7 
         k:       2.400000e+05	    2.00      12500.00


  15147. RSALICPH + UME7  => SALICALD + RUME7 
         k:       4.800000e+08	    1.00       2000.00


  15148. RGUAIPH + UME7  => GUAIACOL + RUME7 
         k:       4.800000e+08	    1.00       2000.00


  15149. RCATEPH + UME7  => CATECHOL + RUME7 
         k:       4.800000e+08	    1.00       2000.00


  15150. H + MPA  => H2 + RMPAX 
         k:       1.140000e+08	    2.00       4000.00


  15151. CH3 + MPA  => CH4 + RMPAX 
         k:       1.140000e+06	    2.00       5000.00


  15152. C2H3 + MPA  => C2H4 + RMPAX 
         k:       2.576400e+06	    2.00       3900.00


  15153. C2H5 + MPA  => C2H6 + RMPAX 
         k:       7.600000e+05	    2.00       6700.00


  15154. NC3H7 + MPA  => C3H8 + RMPAX 
         k:       5.130000e+05	    2.00       6700.00


  15155. IC3H7 + MPA  => C3H8 + RMPAX 
         k:       5.130000e+05	    2.00       9900.00


  15156. C3H5-S + MPA  => C3H6 + RMPAX 
         k:       1.026000e+06	    2.00       4500.00


  15157. C3H5-T + MPA  => C3H6 + RMPAX 
         k:       1.026000e+06	    2.00       4500.00


  15158. C3H5-A + MPA  => C3H6 + RMPAX 
         k:       2.048200e+06	    2.00      12800.00


  15159. C4H5 + MPA  => C4H6 + RMPAX 
         k:       1.026000e+06	    2.00       4500.00


  15160. C4H71-4 + MPA  => C4H8-1 + RMPAX 
         k:       5.130000e+05	    2.00       6600.00


  15161. C4H71-3 + MPA  => C4H8-2 + RMPAX 
         k:       1.292000e+06	    2.00      13700.00


  15162. IC4H7 + MPA  => IC4H8 + RMPAX 
         k:       1.026000e+06	    2.00      13700.00


  15163. C4H3 + MPA  => C4H4 + RMPAX 
         k:       1.554200e+06	    2.00       5200.00


  15164. C6H5 + MPA  => C6H6 + RMPAX 
         k:       1.406000e+09	    1.00       2000.00


  15165. C5H5 + MPA  => C5H6 + RMPAX 
         k:       1.292000e+06	    2.00      14000.00


  15166. O + MPA  => OH + RMPAX 
         k:       8.930000e+07	    2.00       2500.00


  15167. O2 + MPA  => HO2 + RMPAX 
         k:       6.460000e+07	    2.00      44000.00


  15168. OH + MPA  => H2O + RMPAX 
         k:       5.700000e+10	    1.00         50.00


  15169. HO2 + MPA  => H2O2 + RMPAX 
         k:       3.040000e+07	    2.00      16000.00


  15170. CH3O + MPA  => CH3OH + RMPAX 
         k:       1.626400e+06	    2.00       1500.00


  15171. CH2OH + MPA  => CH3OH + RMPAX 
         k:       1.075400e+06	    2.00      10200.00


  15172. HCO + MPA  => CH2O + RMPAX 
         k:       4.788000e+06	    2.00      12300.00


  15173. CH3CO + MPA  => CH3CHO + RMPAX 
         k:       5.130000e+06	    2.00      14000.00


  15174. CH2CHO + MPA  => CH3CHO + RMPAX 
         k:       8.740000e+05	    2.00      11500.00


  15175. C3H3 + MPA  => C3H4-A + RMPAX 
         k:       1.026000e+06	    2.00      14000.00


  15176. HCCO + MPA  => CH2CO + RMPAX 
         k:       1.626400e+06	    2.00       5200.00


  15177. CH3O2 + MPA  => CH3O2H + RMPAX 
         k:       2.888000e+06	    2.00      12600.00


  15178. C2H5O2 + MPA  => C2H5O2H + RMPAX 
         k:       2.888000e+06	    2.00      12600.00


  15179. NC3H7O2 + MPA  => C3H7OOH + RMPAX 
         k:       2.888000e+06	    2.00      12600.00


  15180. IC3H7O2 + MPA  => C3H7OOH + RMPAX 
         k:       2.888000e+06	    2.00      12600.00


  15181. HCO3 + MPA  => HCO3H + RMPAX 
         k:       1.292000e+06	    2.00       6500.00


  15182. CH3CO3 + MPA  => CH3CO3H + RMPAX 
         k:       1.292000e+06	    2.00       6500.00


  15183. CH3COCH2 + MPA  => CH3COCH3 + RMPAX 
         k:       8.740000e+05	    2.00       8000.00


  15184. C6H5O + MPA  => C6H5OH + RMPAX 
         k:       2.052000e+06	    2.00      12500.00


  15185. C6H4OH + MPA  => C6H5OH + RMPAX 
         k:       1.406000e+09	    1.00       2000.00


  15186. C5H7 + MPA  => LC5H8 + RMPAX 
         k:       1.026000e+06	    2.00      15000.00


  15187. C7H7 + MPA  => C7H8 + RMPAX 
         k:       5.130000e+05	    2.00      16000.00


  15188. CH3C6H4 + MPA  => C7H8 + RMPAX 
         k:       1.406000e+09	    1.00       2000.00


  15189. RCRESOLO + MPA  => CRESOL + RMPAX 
         k:       1.026000e+06	    2.00      12800.00


  15190. C10H7 + MPA  => C10H8 + RMPAX 
         k:       1.406000e+09	    1.00       2000.00


  15191. C6H5C2H4 + MPA  => C6H5C2H5 + RMPAX 
         k:       9.500000e+05	    2.00      12500.00


  15192. C6H5CHCH3 + MPA  => C6H5C2H5 + RMPAX 
         k:       6.840000e+05	    2.00      16000.00


  15193. INDENYL + MPA  => INDENE + RMPAX 
         k:       4.940000e+05	    2.00      16000.00


  15194. C10H6CH3 + MPA  => C10H7CH3 + RMPAX 
         k:       1.406000e+09	    1.00       2000.00


  15195. C6H4O + MPA  => C6H5O + RMPAX 
         k:       1.026000e+06	    2.00      12500.00


  15196. RCATEC + MPA  => CATECHOL + RMPAX 
         k:       7.600000e+05	    2.00      11000.00


  15197. RC7H5O3 + MPA  => C7H6O3 + RMPAX 
         k:       7.600000e+05	    2.00      12500.00


  15198. RSALICPH + MPA  => SALICALD + RMPAX 
         k:       1.520000e+09	    1.00       2000.00


  15199. RGUAIPH + MPA  => GUAIACOL + RMPAX 
         k:       1.520000e+09	    1.00       2000.00


  15200. RCATEPH + MPA  => CATECHOL + RMPAX 
         k:       1.520000e+09	    1.00       2000.00


  15201. H + UME16  => H2 + RUME16 
         k:       5.700000e+07	    2.00       4000.00


  15202. CH3 + UME16  => CH4 + RUME16 
         k:       5.700000e+05	    2.00       5000.00


  15203. C2H3 + UME16  => C2H4 + RUME16 
         k:       1.288200e+06	    2.00       3900.00


  15204. C2H5 + UME16  => C2H6 + RUME16 
         k:       3.800000e+05	    2.00       6700.00


  15205. NC3H7 + UME16  => C3H8 + RUME16 
         k:       2.565000e+05	    2.00       6700.00


  15206. IC3H7 + UME16  => C3H8 + RUME16 
         k:       2.565000e+05	    2.00       9900.00


  15207. C3H5-S + UME16  => C3H6 + RUME16 
         k:       5.130000e+05	    2.00       4500.00


  15208. C3H5-T + UME16  => C3H6 + RUME16 
         k:       5.130000e+05	    2.00       4500.00


  15209. C3H5-A + UME16  => C3H6 + RUME16 
         k:       1.024100e+06	    2.00      12800.00


  15210. C4H5 + UME16  => C4H6 + RUME16 
         k:       5.130000e+05	    2.00       4500.00


  15211. C4H71-4 + UME16  => C4H8-1 + RUME16 
         k:       2.565000e+05	    2.00       6600.00


  15212. C4H71-3 + UME16  => C4H8-2 + RUME16 
         k:       6.460000e+05	    2.00      13700.00


  15213. IC4H7 + UME16  => IC4H8 + RUME16 
         k:       5.130000e+05	    2.00      13700.00


  15214. C4H3 + UME16  => C4H4 + RUME16 
         k:       7.771000e+05	    2.00       5200.00


  15215. C6H5 + UME16  => C6H6 + RUME16 
         k:       7.030000e+08	    1.00       2000.00


  15216. C5H5 + UME16  => C5H6 + RUME16 
         k:       6.460000e+05	    2.00      14000.00


  15217. O + UME16  => OH + RUME16 
         k:       4.465000e+07	    2.00       2500.00


  15218. O2 + UME16  => HO2 + RUME16 
         k:       3.230000e+07	    2.00      44000.00


  15219. OH + UME16  => H2O + RUME16 
         k:       2.850000e+10	    1.00         50.00


  15220. HO2 + UME16  => H2O2 + RUME16 
         k:       1.520000e+07	    2.00      16000.00


  15221. CH3O + UME16  => CH3OH + RUME16 
         k:       8.132000e+05	    2.00       1500.00


  15222. CH2OH + UME16  => CH3OH + RUME16 
         k:       5.377000e+05	    2.00      10200.00


  15223. HCO + UME16  => CH2O + RUME16 
         k:       2.394000e+06	    2.00      12300.00


  15224. CH3CO + UME16  => CH3CHO + RUME16 
         k:       2.565000e+06	    2.00      14000.00


  15225. CH2CHO + UME16  => CH3CHO + RUME16 
         k:       4.370000e+05	    2.00      11500.00


  15226. C3H3 + UME16  => C3H4-A + RUME16 
         k:       5.130000e+05	    2.00      14000.00


  15227. HCCO + UME16  => CH2CO + RUME16 
         k:       8.132000e+05	    2.00       5200.00


  15228. CH3O2 + UME16  => CH3O2H + RUME16 
         k:       1.444000e+06	    2.00      12600.00


  15229. C2H5O2 + UME16  => C2H5O2H + RUME16 
         k:       1.444000e+06	    2.00      12600.00


  15230. NC3H7O2 + UME16  => C3H7OOH + RUME16 
         k:       1.444000e+06	    2.00      12600.00


  15231. IC3H7O2 + UME16  => C3H7OOH + RUME16 
         k:       1.444000e+06	    2.00      12600.00


  15232. HCO3 + UME16  => HCO3H + RUME16 
         k:       6.460000e+05	    2.00       6500.00


  15233. CH3CO3 + UME16  => CH3CO3H + RUME16 
         k:       6.460000e+05	    2.00       6500.00


  15234. CH3COCH2 + UME16  => CH3COCH3 + RUME16 
         k:       4.370000e+05	    2.00       8000.00


  15235. C6H5O + UME16  => C6H5OH + RUME16 
         k:       1.026000e+06	    2.00      12500.00


  15236. C6H4OH + UME16  => C6H5OH + RUME16 
         k:       7.030000e+08	    1.00       2000.00


  15237. C5H7 + UME16  => LC5H8 + RUME16 
         k:       5.130000e+05	    2.00      15000.00


  15238. C7H7 + UME16  => C7H8 + RUME16 
         k:       2.565000e+05	    2.00      16000.00


  15239. CH3C6H4 + UME16  => C7H8 + RUME16 
         k:       7.030000e+08	    1.00       2000.00


  15240. RCRESOLO + UME16  => CRESOL + RUME16 
         k:       5.130000e+05	    2.00      12800.00


  15241. C10H7 + UME16  => C10H8 + RUME16 
         k:       7.030000e+08	    1.00       2000.00


  15242. C6H5C2H4 + UME16  => C6H5C2H5 + RUME16 
         k:       4.750000e+05	    2.00      12500.00


  15243. C6H5CHCH3 + UME16  => C6H5C2H5 + RUME16 
         k:       3.420000e+05	    2.00      16000.00


  15244. INDENYL + UME16  => INDENE + RUME16 
         k:       2.470000e+05	    2.00      16000.00


  15245. C10H6CH3 + UME16  => C10H7CH3 + RUME16 
         k:       7.030000e+08	    1.00       2000.00


  15246. C6H4O + UME16  => C6H5O + RUME16 
         k:       5.130000e+05	    2.00      12500.00


  15247. RCATEC + UME16  => CATECHOL + RUME16 
         k:       3.800000e+05	    2.00      11000.00


  15248. RC7H5O3 + UME16  => C7H6O3 + RUME16 
         k:       3.800000e+05	    2.00      12500.00


  15249. RSALICPH + UME16  => SALICALD + RUME16 
         k:       7.600000e+08	    1.00       2000.00


  15250. RGUAIPH + UME16  => GUAIACOL + RUME16 
         k:       7.600000e+08	    1.00       2000.00


  15251. RCATEPH + UME16  => CATECHOL + RUME16 
         k:       7.600000e+08	    1.00       2000.00


  15252. H + MSTEA  => H2 + RSTEAX 
         k:       1.200000e+08	    2.00       4000.00


  15253. CH3 + MSTEA  => CH4 + RSTEAX 
         k:       1.200000e+06	    2.00       5000.00


  15254. C2H3 + MSTEA  => C2H4 + RSTEAX 
         k:       2.712000e+06	    2.00       3900.00


  15255. C2H5 + MSTEA  => C2H6 + RSTEAX 
         k:       8.000000e+05	    2.00       6700.00


  15256. NC3H7 + MSTEA  => C3H8 + RSTEAX 
         k:       5.400000e+05	    2.00       6700.00


  15257. IC3H7 + MSTEA  => C3H8 + RSTEAX 
         k:       5.400000e+05	    2.00       9900.00


  15258. C3H5-S + MSTEA  => C3H6 + RSTEAX 
         k:       1.080000e+06	    2.00       4500.00


  15259. C3H5-T + MSTEA  => C3H6 + RSTEAX 
         k:       1.080000e+06	    2.00       4500.00


  15260. C3H5-A + MSTEA  => C3H6 + RSTEAX 
         k:       2.156000e+06	    2.00      12800.00


  15261. C4H5 + MSTEA  => C4H6 + RSTEAX 
         k:       1.080000e+06	    2.00       4500.00


  15262. C4H71-4 + MSTEA  => C4H8-1 + RSTEAX 
         k:       5.400000e+05	    2.00       6600.00


  15263. C4H71-3 + MSTEA  => C4H8-2 + RSTEAX 
         k:       1.360000e+06	    2.00      13700.00


  15264. IC4H7 + MSTEA  => IC4H8 + RSTEAX 
         k:       1.080000e+06	    2.00      13700.00


  15265. C4H3 + MSTEA  => C4H4 + RSTEAX 
         k:       1.636000e+06	    2.00       5200.00


  15266. C6H5 + MSTEA  => C6H6 + RSTEAX 
         k:       1.480000e+09	    1.00       2000.00


  15267. C5H5 + MSTEA  => C5H6 + RSTEAX 
         k:       1.360000e+06	    2.00      14000.00


  15268. O + MSTEA  => OH + RSTEAX 
         k:       9.400000e+07	    2.00       2500.00


  15269. O2 + MSTEA  => HO2 + RSTEAX 
         k:       6.800000e+07	    2.00      44000.00


  15270. OH + MSTEA  => H2O + RSTEAX 
         k:       6.000000e+10	    1.00         50.00


  15271. HO2 + MSTEA  => H2O2 + RSTEAX 
         k:       3.200000e+07	    2.00      16000.00


  15272. CH3O + MSTEA  => CH3OH + RSTEAX 
         k:       1.712000e+06	    2.00       1500.00


  15273. CH2OH + MSTEA  => CH3OH + RSTEAX 
         k:       1.132000e+06	    2.00      10200.00


  15274. HCO + MSTEA  => CH2O + RSTEAX 
         k:       5.040000e+06	    2.00      12300.00


  15275. CH3CO + MSTEA  => CH3CHO + RSTEAX 
         k:       5.400000e+06	    2.00      14000.00


  15276. CH2CHO + MSTEA  => CH3CHO + RSTEAX 
         k:       9.200000e+05	    2.00      11500.00


  15277. C3H3 + MSTEA  => C3H4-A + RSTEAX 
         k:       1.080000e+06	    2.00      14000.00


  15278. HCCO + MSTEA  => CH2CO + RSTEAX 
         k:       1.712000e+06	    2.00       5200.00


  15279. CH3O2 + MSTEA  => CH3O2H + RSTEAX 
         k:       3.040000e+06	    2.00      12600.00


  15280. C2H5O2 + MSTEA  => C2H5O2H + RSTEAX 
         k:       3.040000e+06	    2.00      12600.00


  15281. NC3H7O2 + MSTEA  => C3H7OOH + RSTEAX 
         k:       3.040000e+06	    2.00      12600.00


  15282. IC3H7O2 + MSTEA  => C3H7OOH + RSTEAX 
         k:       3.040000e+06	    2.00      12600.00


  15283. HCO3 + MSTEA  => HCO3H + RSTEAX 
         k:       1.360000e+06	    2.00       6500.00


  15284. CH3CO3 + MSTEA  => CH3CO3H + RSTEAX 
         k:       1.360000e+06	    2.00       6500.00


  15285. CH3COCH2 + MSTEA  => CH3COCH3 + RSTEAX 
         k:       9.200000e+05	    2.00       8000.00


  15286. C6H5O + MSTEA  => C6H5OH + RSTEAX 
         k:       2.160000e+06	    2.00      12500.00


  15287. C6H4OH + MSTEA  => C6H5OH + RSTEAX 
         k:       1.480000e+09	    1.00       2000.00


  15288. C5H7 + MSTEA  => LC5H8 + RSTEAX 
         k:       1.080000e+06	    2.00      15000.00


  15289. C7H7 + MSTEA  => C7H8 + RSTEAX 
         k:       5.400000e+05	    2.00      16000.00


  15290. CH3C6H4 + MSTEA  => C7H8 + RSTEAX 
         k:       1.480000e+09	    1.00       2000.00


  15291. RCRESOLO + MSTEA  => CRESOL + RSTEAX 
         k:       1.080000e+06	    2.00      12800.00


  15292. C10H7 + MSTEA  => C10H8 + RSTEAX 
         k:       1.480000e+09	    1.00       2000.00


  15293. C6H5C2H4 + MSTEA  => C6H5C2H5 + RSTEAX 
         k:       1.000000e+06	    2.00      12500.00


  15294. C6H5CHCH3 + MSTEA  => C6H5C2H5 + RSTEAX 
         k:       7.200000e+05	    2.00      16000.00


  15295. INDENYL + MSTEA  => INDENE + RSTEAX 
         k:       5.200000e+05	    2.00      16000.00


  15296. C10H6CH3 + MSTEA  => C10H7CH3 + RSTEAX 
         k:       1.480000e+09	    1.00       2000.00


  15297. C6H4O + MSTEA  => C6H5O + RSTEAX 
         k:       1.080000e+06	    2.00      12500.00


  15298. RCATEC + MSTEA  => CATECHOL + RSTEAX 
         k:       8.000000e+05	    2.00      11000.00


  15299. RC7H5O3 + MSTEA  => C7H6O3 + RSTEAX 
         k:       8.000000e+05	    2.00      12500.00


  15300. RSALICPH + MSTEA  => SALICALD + RSTEAX 
         k:       1.600000e+09	    1.00       2000.00


  15301. RGUAIPH + MSTEA  => GUAIACOL + RSTEAX 
         k:       1.600000e+09	    1.00       2000.00


  15302. RCATEPH + MSTEA  => CATECHOL + RSTEAX 
         k:       1.600000e+09	    1.00       2000.00


  15303. H + MEOLE  => H2 + RMEOLEA 
         k:       3.600000e+07	    2.00       4000.00


  15304. CH3 + MEOLE  => CH4 + RMEOLEA 
         k:       3.600000e+05	    2.00       5000.00


  15305. C2H3 + MEOLE  => C2H4 + RMEOLEA 
         k:       8.136000e+05	    2.00       3900.00


  15306. C2H5 + MEOLE  => C2H6 + RMEOLEA 
         k:       2.400000e+05	    2.00       6700.00


  15307. NC3H7 + MEOLE  => C3H8 + RMEOLEA 
         k:       1.620000e+05	    2.00       6700.00


  15308. IC3H7 + MEOLE  => C3H8 + RMEOLEA 
         k:       1.620000e+05	    2.00       9900.00


  15309. C3H5-S + MEOLE  => C3H6 + RMEOLEA 
         k:       3.240000e+05	    2.00       4500.00


  15310. C3H5-T + MEOLE  => C3H6 + RMEOLEA 
         k:       3.240000e+05	    2.00       4500.00


  15311. C3H5-A + MEOLE  => C3H6 + RMEOLEA 
         k:       6.468000e+05	    2.00      12800.00


  15312. C4H5 + MEOLE  => C4H6 + RMEOLEA 
         k:       3.240000e+05	    2.00       4500.00


  15313. C4H71-4 + MEOLE  => C4H8-1 + RMEOLEA 
         k:       1.620000e+05	    2.00       6600.00


  15314. C4H71-3 + MEOLE  => C4H8-2 + RMEOLEA 
         k:       4.080000e+05	    2.00      13700.00


  15315. IC4H7 + MEOLE  => IC4H8 + RMEOLEA 
         k:       3.240000e+05	    2.00      13700.00


  15316. C4H3 + MEOLE  => C4H4 + RMEOLEA 
