------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
  148. C5EN-OOQOOH-35        G      0          133.122997    300.00   3500.00       5       9       4       0       0       0
  149. NC5H12OO              G      0          103.140998    300.00   3500.00       5      11       2       0       0       0
  150. NC5-QOOH              G      0          103.140998    300.00   3500.00       5      11       2       0       0       0
  151. NC5-OOQOOH            G      0          135.138997    300.00   3500.00       5      11       4       0       0       0
  152. C4H6O2                G      0           86.089998    300.00   3500.00       4       6       2       0       0       0
  153. C4H8O                 G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  154. C5H8O                 G      0           84.117998    300.00   3500.00       5       8       1       0       0       0
  155. NC3H7OH               G      0           60.095999    300.00   3500.00       3       8       1       0       0       0
  156. CH3CHCH2OH            G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  157. CH3CH2CHOH            G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  158. CH2CH2CH2OH           G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  159. CH3CH2CH2O            G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  160. IC3H7OH               G      0           60.095999    300.00   3500.00       3       8       1       0       0       0
  161. CH2CHOHCH3            G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  162. CH3COHCH3             G      0           59.087999    300.00   3500.00       3       7       1       0       0       0
  163. C3H7CHO               G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  164. RALD4X                G      0           71.098998    300.00   3500.00       4       7       1       0       0       0
  165. C3H5CHO               G      0           70.090998    300.00   3500.00       4       6       1       0       0       0
  166. IC3H5CHO              G      0           70.090998    300.00   3500.00       4       6       1       0       0       0
  167. NC4H7OH               G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  168. IC4H7OH               G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  169. IC3H7CHO              G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  170. RIBALDB               G      0           71.098998    300.00   3500.00       4       7       1       0       0       0
  171. RIBALDG               G      0           71.098998    300.00   3500.00       4       7       1       0       0       0
  172. N1C4H9OH              G      0           74.122998    300.00   3500.00       4      10       1       0       0       0
  173. CH3CH2CHCH2OH         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  174. CH2CH2CH2CH2OH        G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  175. CH3CH2CH2CH2O         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  176. CH3CH2CH2CHOH         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  177. CH3CHCH2CH2OH         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  178. N2C4H9OH              G      0           74.122998    300.00   3500.00       4      10       1       0       0       0
  179. CH2CH2CHOHCH3         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  180. CH3CH2CHOHCH2         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  181. CH3CHCHOHCH3          G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  182. CH3CH2COHCH3          G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  183. TC4H9OH               G      0           74.122998    300.00   3500.00       4      10       1       0       0       0
  184. RTC4H8OH              G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  185. IC4H9OH               G      0           74.122998    300.00   3500.00       4      10       1       0       0       0
  186. CH3CHCH3CHOH          G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  187. CH3CCH2OHCH3          G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  188. CH2CHCH2OHCH3         G      0           73.114998    300.00   3500.00       4       9       1       0       0       0
  189. MEK                   G      0           72.106998    300.00   3500.00       4       8       1       0       0       0
  190. C5H9OH                G      0           86.133998    300.00   3500.00       5      10       1       0       0       0
  191. C4H9CHO               G      0           86.133998    300.00   3500.00       5      10       1       0       0       0
  192. IC5H9OH               G      0           86.133998    300.00   3500.00       5      10       1       0       0       0
  193. IC4H9CHO              G      0           86.133998    300.00   3500.00       5      10       1       0       0       0
  194. RALD5X                G      0           85.125998    300.00   3500.00       5       9       1       0       0       0
  195. ALDC6                 G      0          100.160998    300.00   3500.00       6      12       1       0       0       0
  196. RALD6X                G      0           99.152998    300.00   3500.00       6      11       1       0       0       0
  197. C5H11OH               G      0           88.149998    300.00   3500.00       5      12       1       0       0       0
  198. RPENT1OHA             G      0           87.141998    300.00   3500.00       5      11       1       0       0       0
  199. RPENT1OHB             G      0           87.141998    300.00   3500.00       5      11       1       0       0       0
  200. IC5H11OH              G      0           88.149998    300.00   3500.00       5      12       1       0       0       0
  201. RIPENTOHA             G      0           87.141998    300.00   3500.00       5      11       1       0       0       0
  202. RIPENTOHB             G      0           87.141998    300.00   3500.00       5      11       1       0       0       0
  203. ESAN1OH               G      0          102.176998    300.00   3500.00       6      14       1       0       0       0
  204. RESAN1OHA             G      0          101.168998    300.00   3500.00       6      13       1       0       0       0
  205. RESAN1OHB             G      0          101.168998    300.00   3500.00       6      13       1       0       0       0
  206. NC5H12                G      0           72.150999    300.00   3500.00       5      12       0       0       0       0
  207. NC5H11                G      0           71.142999    300.00   3500.00       5      11       0       0       0       0
  208. NEOC5H12              G      0           72.150999    300.00   3500.00       5      12       0       0       0       0
  209. NEOC5H11              G      0           71.142999    300.00   3500.00       5      11       0       0       0       0
  210. NC5H10                G      0           70.134999    300.00   3500.00       5      10       0       0       0       0
  211. NC5H9-3               G      0           69.126999    300.00   3500.00       5       9       0       0       0       0
  212. B1M2                  G      0           70.134999    300.00   3500.00       5      10       0       0       0       0
  213. B1M3                  G      0           70.134999    300.00   3500.00       5      10       0       0       0       0
  214. B2M2                  G      0           70.134999    300.00   3500.00       5      10       0       0       0       0
  215. CYC5H8                G      0           68.118999    300.00   3500.00       5       8       0       0       0       0
  216. C5H7                  G      0           67.110999    300.00   3500.00       5       7       0       0       0       0
  217. LC5H8                 G      0           68.118999    300.00   3500.00       5       8       0       0       0       0
