-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
NC3-OOQOOH                  107.0850       31.5590      -29.6939      -60.7973      104.3736       58.5393        3.8560     -155.0906      158.9466
IC3-OOQOOH                  107.0850       31.9722      -34.0669      -64.5764      102.3810       59.0269       -0.0410     -157.8131      157.7721
CH2COOH                      59.0440       15.6333      -59.3789      -79.2168       66.5701       29.3261      -42.4945     -136.5179       94.0233
IC4-OQOOH                   104.1050       31.3596      -71.4234     -101.5857      101.2158       62.8571      -36.1339     -194.3567      158.2228
NC4-OQOOH                   104.1050       33.2086      -74.0292     -103.9296      100.3368       62.8826      -38.2329     -196.6836      158.4507
C4H9OOH                      90.1220       31.2584      -50.4887      -78.9429       95.4840       65.1099      -14.5392     -167.8802      153.3410
C5EN-OQOOH-35               116.1160       34.5584      -54.0930      -85.0776      103.9752       68.2857      -15.5923     -181.8385      166.2462
NC5H10-O                     86.1340       26.4611      -34.8551      -59.2078       81.7204       65.2251       -0.1165     -136.9975      136.8811
NC5-OQOOH                   118.1320       38.7205      -78.9523     -111.6611      109.7612       75.2460      -36.4755     -215.0317      178.5563
NC5H11OOH                   104.1490       36.4398      -57.6539      -88.1138      102.2143       77.6093      -14.9512     -185.7762      170.8251
NC4-QOOH                     89.1140       30.0701       -8.5134      -37.6929       97.9180       61.1740       25.5790     -127.3279      152.9069
NC4H9-OO                     89.1140       29.6821      -18.7601      -46.0592       91.6077       60.5686       14.8982     -130.9909      145.8890
IC4H9T-OO                    89.1140       29.9023      -23.4342      -48.9652       85.6742       60.8676       10.4863     -129.9162      140.4025
IC4T-QOOH                    89.1140       31.1609      -10.5347      -38.0291       92.2632       62.0626       24.5417     -124.4528      148.9945
IC4P-QOOH                    89.1140       30.1587       -3.7291      -32.1369       95.3282       61.4320       30.6742     -120.1715      150.8457
IC4H9P-OO                    89.1140       28.8974      -16.6251      -43.7198       90.9218       60.2425       16.6245     -127.8147      144.4393
NC4-OOQOOH                  121.1120       38.2780      -43.3688      -76.0884      109.7973       72.0753       -1.9866     -179.0422      177.0556
IC4T-OOQOOH                 121.1120       37.7986      -43.6673      -75.8628      108.0386       71.6634       -2.7097     -177.2623      174.5526
IC4P-OOQOOH                 121.1120       36.7774      -36.8629      -69.9744      111.1125       71.0523        3.4382     -172.9998      176.4380
C5EN-QOOH                   101.1250       33.8065       18.7273      -11.5056      101.4528       66.9815       56.4109     -105.9787      162.3897
C5EN-OO                     101.1250       32.4085        8.4671      -20.9140       98.5942       65.9994       45.2811     -112.7092      157.9903
C5EN-OOQOOH-35              133.1230       40.6039      -15.4598      -49.5659      114.4500       77.4310       28.8509     -157.5420      186.3929
NC5H12OO                    103.1410       35.3743      -28.3616      -57.3492       97.2740       73.2130       12.2358     -150.4405      162.6763
NC5-QOOH                    103.1410       36.6356      -15.4628      -45.7642      101.6824       74.4064       26.2891     -142.7967      169.0858
NC5-OOQOOH                  135.1390       43.2858      -48.5957      -83.5981      117.4577       84.0131       -0.9596     -195.6093      194.6496
C4H6O2                       86.0900       22.9318      -78.3964     -103.4992       84.2377       49.1356      -51.5904     -178.8515      127.2612
C4H8O                        72.1070       21.5486      -27.6851      -49.6242       73.6209       52.6705        0.4345     -117.8675      118.3020
C5H8O                        84.1180       23.5075       -2.3254      -26.4305       80.8895       57.9969       28.7781     -101.5446      130.3227
NC3H7OH                      60.0960       20.7137      -61.1392      -84.0805       76.9844       46.2528      -36.1156     -153.1338      117.0183
CH3CHCH2OH                   59.0880       20.8306      -13.8352      -37.7880       80.3786       42.1104        9.3870     -108.4417      117.8286
CH3CH2CHOH                   59.0880       20.4504      -18.1613      -41.2630       77.5225       42.7139        5.3434     -109.9932      115.3366
CH2CH2CH2OH                  59.0880       19.6100      -12.0849      -36.4253       81.6792       42.3906       11.0461     -107.7400      118.7861
CH3CH2CH2O                   59.0880       21.0456       -8.3427      -30.7673       75.2502       43.6373       15.6097      -98.1870      113.7967
IC3H7OH                      60.0960       21.1743      -65.1852      -87.1967       73.8642       46.7982      -39.6073     -154.4573      114.8500
CH2CHOHCH3                   59.0880       20.6646      -16.0974      -39.6672       79.0934       42.8580        7.5719     -109.6347      117.2066
CH3COHCH3                    59.0880       21.7748      -22.0427      -44.4132       75.0689       43.1958        2.1186     -112.0106      114.1291
C3H7CHO                      72.1070       25.1169      -50.3411      -74.8420       82.2179       55.7026      -20.2996     -150.5375      130.2379
RALD4X                       71.0990       24.0402      -10.5136      -34.3223       79.8953       51.6987       16.8400     -106.8170      123.6570
C3H5CHO                      70.0910       21.0491      -19.4064      -43.3974       80.5064       44.4674        5.0940     -114.8032      119.8973
IC3H5CHO                     70.0910       23.0701      -27.3387      -49.5789       74.6317       45.6171       -1.6312     -117.8473      116.2160
NC4H7OH                      72.1070       25.1207      -42.2247      -66.0694       80.0158       52.1692      -13.1094     -140.0485      126.9390
IC4H7OH                      72.1070       24.5655      -38.2759      -62.7080       81.9869       51.1705      -10.1478     -137.3925      127.2447
IC3H7CHO                     72.1070       23.4240      -51.2107      -74.9413       79.6330       51.9533      -22.9996     -147.7954      124.7958
RIBALDB                      71.0990       21.6453        4.1002      -18.8118       76.8860       48.2587       30.1747      -88.4798      118.6544
RIBALDG                      71.0990       21.9107       -1.9641      -26.7063       83.0274       48.1050       24.3365     -100.9167      125.2532
N1C4H9OH                     74.1230       26.2954      -66.1382      -91.9551       86.6339       58.7406      -34.3267     -171.8559      137.5292
CH3CH2CHCH2OH                73.1150       26.4109      -18.8346      -45.6629       90.0277       54.6031       11.1765     -127.1638      138.3403
CH2CH2CH2CH2OH               73.1150       25.1904      -17.0843      -44.3001       91.3283       54.8776       12.8352     -126.4625      139.2977
CH3CH2CH2CH2O                73.1150       26.4338      -13.3428      -38.6429       84.8997       56.1911       17.3887     -116.8704      134.2591
CH3CH2CH2CHOH                73.1150       26.0254      -23.1597      -49.1371       87.1726       55.2005        7.1319     -128.7139      135.8458
CH3CHCH2CH2OH                73.1150       24.2954      -20.1846      -47.2644       90.8717       54.0980        9.0777     -128.6161      137.6938
N2C4H9OH                     74.1230       26.9214      -70.0310      -94.9775       83.7132       59.0180      -37.9466     -173.0677      135.1211
CH2CH2CHOHCH3                73.1150       26.1654      -21.0295      -47.4069       88.5147       55.2774        9.3141     -127.9710      137.2852
CH3CH2CHOHCH2                73.1150       26.1654      -21.0295      -47.4069       88.5147       55.2774        9.3141     -127.9710      137.2852
CH3CHCHOHCH3                 73.1150       25.2968      -23.6972      -49.9618       88.1360       54.5816        6.0496     -129.8069      135.8565
CH3CH2COHCH3                 73.1150       27.2431      -26.9629      -52.1424       84.4950       55.5851        3.8801     -130.3466      134.2266
TC4H9OH                      74.1230       27.0854      -74.4935      -97.6405       77.6744       59.2013      -42.1611     -171.6765      129.5154
RTC4H8OH                     73.1150       26.3189      -25.4970      -50.7202       84.6415       55.4538        5.0945     -128.7514      133.8459
IC4H9OH                      74.1230       26.0690      -67.9050      -92.6447       83.0193       58.6040      -36.2357     -169.8944      133.6588
CH3CHCH3CHOH                 73.1150       26.4041      -24.8372      -49.8100       83.8014       55.1934        5.6048     -127.1830      132.7878
CH3CCH2OHCH3                 73.1150       25.2261      -23.5168      -49.8102       88.2328       53.4424        5.4010     -129.2452      134.6462
CH2CHCH2OHCH3                73.1150       25.3061      -18.9030      -45.0737       87.8211       54.8734       11.0285     -124.7978      135.8263
MEK                          72.1070       23.7635      -57.3653      -81.5611       81.1940       49.9623      -30.0871     -155.1261      125.0390
C5H9OH                       86.1340       31.1699      -47.2799      -73.4202       87.7192       65.6810      -10.4613     -157.4931      147.0317
C4H9CHO                      86.1340       29.9321      -55.3037      -82.6121       91.6387       67.1530      -19.4337     -168.3136      148.8799
IC5H9OH                      86.1340       29.5828      -49.1601      -75.3893       88.0176       64.4202      -13.7391     -158.5975      144.8584
IC4H9CHO                     86.1340       29.8805      -56.6146      -83.0942       88.8577       64.0133      -21.6203     -166.6553      145.0349
RALD5X                       85.1260       29.4533       -6.2202      -34.5257       94.9846       63.0875       27.8891     -121.7461      149.6352
ALDC6                       100.1610       35.6103      -59.3836      -89.4541      100.9076       76.2550      -17.7715     -185.4734      167.7019
